Sl_No,label,Book_Name,link
1,wakeeluo,Mastering Metrics,d6_jQXoS0rs
2,ghazibhangu,Mastering Metrics,d6_jQXoS0rs
3,aitzazarif,Mindsight,PC2so67axbY
4,alishanmalik01,Mindsight,PC2so67axbY
5,aamnah_niaz,Mindsight,PC2so67axbY
6,aqsaabbasi,Mindsight,PC2so67axbY
7,solangi_aashique,Mindsight,PC2so67axbY
8,Atiquegcuqau,Mindsight,PC2so67axbY
9,18110026,Mindsight,PC2so67axbY
10,chhfarhanjattt,Mastering Metrics,d6_jQXoS0rs
11,Binte_bilal333,Mindsight,PC2so67axbY
12,hamzamurad_r,Mindsight,PC2so67axbY
13,hifzabatool1995,Mindsight,PC2so67axbY
14,komalmuzammil981,Mindsight,PC2so67axbY
15,baigzada18,Mastering Metrics,d6_jQXoS0rs
16,larraibbb,Mindsight,PC2so67axbY
17,osmanshakir666,Mastering Metrics,d6_jQXoS0rs
18,nehelhafeez,Mindsight,PC2so67axbY
19,niazbetab22,Mindsight,PC2so67axbY
20,quratulainmaryam27,Mastering Metrics,d6_jQXoS0rs
21,ramshatariqbs,Mindsight,PC2so67axbY
22,ranahaidertahir1,Mindsight,PC2so67axbY
23,rebeccaahmad0,Mastering Metrics,d6_jQXoS0rs
24,sajidullah424,Mastering Metrics,d6_jQXoS0rs
25,sheharyar_habib00,Mastering Metrics,d6_jQXoS0rs
26,Quratulain560,Mindsight,PC2so67axbY
27,aaishanaeem2,Mindsight,PC2so67axbY
28,anilajavid25,Mindsight,PC2so67axbY
29,mohdatef46,Mastering Metrics,d6_jQXoS0rs
30,ayeshaahmed16,Mindsight,PC2so67axbY
31,farrukhjamal99,Mindsight,PC2so67axbY
32,fatimarshad2,Mindsight,PC2so67axbY
33,aalam_jun,Mastering Metrics,d6_jQXoS0rs
34,moomals,Mastering Metrics,d6_jQXoS0rs
35,mhbaig966,Mindsight,PC2so67axbY
36,talhamalik1993,Mastering Metrics,d6_jQXoS0rs
37,usmanchattha93,Mastering Metrics,d6_jQXoS0rs
38,chmujtabaulhasan,Mindsight,PC2so67axbY
39,nauman_mkhan7,Mastering Metrics,d6_jQXoS0rs
40,rahiiqbal28,Mindsight,PC2so67axbY
41,basitrono,Mastering Metrics,d6_jQXoS0rs
42,Reshamjehangir29,Mindsight,PC2so67axbY
43,shujahatalisyed,Mastering Metrics,d6_jQXoS0rs
44,saqlain_laghari19,Mindsight,PC2so67axbY
45,mehboobshafaq,Mindsight,PC2so67axbY
46,sabih_chemical2017,Mastering Metrics,d6_jQXoS0rs
47,talha5773,Mindsight,PC2so67axbY
48,Orwaanam,Mastering Metrics,d6_jQXoS0rs
49,usmanaziz1301,Mindsight,PC2so67axbY
50,uzairakhan4,Mindsight,PC2so67axbY
51,zahra_noor22,Mastering Metrics,d6_jQXoS0rs
52,zarbabf9,Mastering Metrics,d6_jQXoS0rs
53,saddoxai,Mindsight,PC2so67axbY
54,Alishahabbasi1995,Mindsight,PC2so67axbY
55,fareehan05_fn,Mindsight,PC2so67axbY
56,iqraatique1,Mindsight,PC2so67axbY
57,maaz_icup,Mindsight,PC2so67axbY
58,moizagha70,Mastering Metrics,d6_jQXoS0rs
59,mubarra_tariq01,Mindsight,PC2so67axbY
60,bedar_gondal,Mindsight,PC2so67axbY
61,mdaudsaleemi,Mindsight,PC2so67axbY
