sl_no,judge_name,states,districts
1,A B Khadiri,Andhra Pradesh,Anantapur
2,A Bhate,Arunachal Pradesh,Chittoor
3,A Bhushan,Assam,East Godavari
4,A Bose,Bihar,Guntur
5,A C Qureshi,Chhatisgarh,YSR Kadapa
6,A C Rao,Goa,Krishna
7,A Chaudhary,Gujarat,Kurnool
8,A Chowdhri Garg,Haryana,Prakasam
9,A D Singh,Himachal Pradesh,Sri Potti Sriramulu Nellore
10,A Divecha,Jharkhand,Srikakulam
11,A Ganguly,Karnataka,Visakhapatnam
12,A Hariprasad,Kerala,Vizianagaram
13,A K Ganguly,Madhya Pradesh,West Godavari
14,A K Menon,Maharashtra,Anjaw
15,A K Patnaik,Manipur,Changlang
16,A K Rath,Meghalaya,East Kameng
17,A K Sikri,Mizoram,East Siang
18,A K Singh,Nagaland,Kamle
19,A Kabir,Odisha,Kra Daadi
20,A Kulasekaran,Punjab,Kurung Kumey
21,A L Dave,Rajasthan,Lepa Rada
22,A M Ahmadi,Sikkim,Lohit
23,A M Basheer Ahamed,Tamil Nadu,Longding
24,A M Khanwilkar,Telangana,Lower Dibang Valley
25,A M Shaffique,Tripura,Lower Siang
26,A Muhamed Mustaque,Uttar Pradesh,Lower Subansiri
27,A N Jindal,Uttarakhand,Namsai
28,A N Venugopala Gowda,West Bengal,Pakke-Kessang
29,A P Sahi,Andaman and Nicobar,Papum Pare
30,A P Shah,Chandigarh,Shi Yomi
31,A P Sinha,Daman and Diu,Siang
32,A P Thaker,Dadra and Nagar Haveli,Tawang
33,A Pasayat,Jammu and Kashmir,Tirap
34,A Qureshi,Ladakh,Upper Dibang Valley
35,A R Yousuf,Lakshadweep,Upper Siang
36,A S Bopanna,NCT of Delhi,Upper Subansiri
37,A S Chandurkar,Puducherry,West Kameng
38,A S Gadkari,,West Siang
39,A S Naidu,,Baksa
40,A S Oka,,Barpeta
41,A Sen,,Bishwanath
42,A Shah,,Bongaigaon
43,A Sikri,,Cachar
44,A Singh,,Charaideo
45,A Tiwari,,Chirang
46,A Y Kogje,,Darrang
47,Aakanksha Vyas,,Dhemaji
48,Abdul Quddhose,,Dhubri
49,Abhilasha Kumari,,Dibrugarh
50,Aftab Alam,,Dima Hasao
51,Ahsanuddin Amanullah,,Goalpara
52,Ajay A Deshpande,,Golaghat
53,Ajay Bhanot,,Hailakandi
54,Ajay Garg,,Hojai
55,Ajay Kumar Mittal,,Jorhat
56,Ajay Mohan Goel,,Kamrup
57,Ajit Singh,,Kamrup Metropolitan
58,Akbar Basha Khadiri,,Karbi Anglong
59,Akhilesh Chandra,,Karimganj
60,Akil Kureshi,,Kokrajhar
61,Alok Aradhe,,Lakhimpur
62,Alok Sharma,,Majuli
63,Alok Singh,,Morigaon
64,Amit Rawal,,Nagaon
65,Amitav K Gupta,,Nalbari
66,Amitava Roy,,Sivasagar
67,Amreshwar Pratap Sahi,,South Salmara
68,Anand Byrareddy,,Sonitpur
69,Ananda Sen,,Tinsukia
70,Anant Bijay Singh,,Udalguri
71,Anant Kumar,,West Karbi Anglong
72,Anant S Dave,,Araria
73,Anil Dev Singh,,Arwal
74,Anil Kumar Choudhary,,Aurangabad
75,Aniruddha Bose,,Banka
76,Anjana Mishra,,Begusarai
77,Anjana Mishraustice I A Ansari,,Bhagalpur
78,Antony Dominic,,Bhojpur
79,Anu Sivaraman,,Buxar
80,Anubha Rawat Choudhary,,Darbhanga
81,Anupinder Singh Grewal,,East Champaran
82,Aparesh Kumar Singh,,Gaya
83,Aravind Kumar,,Gopalganj
84,Arijit Pasayat,,Jamui
85,Arun Mishra,,Jehanabad
86,Aruna Jagadeesan,,Kaimur
87,Arvind Vastava,,Katihar
88,Arvind Vastavayoti Saran,,Khagaria
89,Ashim Kumar Roy,,Kishanganj
90,Ashis Kumar Chakraborty,,Lakhisarai
91,Ashok Bhushan,,Madhepura
92,Ashok G Nijagannavar,,Madhubani
93,Ashwani Kumar Singh,,Munger
94,Asim Kumar Ray,,Muzaffarpur
95,Atul Krishna Aggrawal,,Nalanda
96,Augustine George Masih,,Nawada
97,B Akbar Basha Khadiri,,Patna
98,B Arora,,Purnia
99,B C Patel,,Rohtas
100,B Chakrabarti,,Saharsa
101,B Deshmukh,,Samastipur
102,B Gupta,,Saran
103,B H Marlapalle,,Sheikhpura
104,B Jeevan Reddy,,Sheohar
105,B Kirpal,,Sitamarhi
106,B N Mahapatra,,Siwan
107,B P Colabawalla,,Supaul
108,B P Dharmadhikari,,Vaishali
109,B P Jeevan Reddy,,West Champaran
110,B P Katakey,,Balod
111,B Pardiwala,,Baloda Bazar
112,B Patel,,Balrampur
113,B R Arora,,Bastar
114,B Rajendran,,Bemetara
115,B S Rao,,Bijapur
116,B S Reddy,,Bilaspur
117,B Seshasayana Reddy,,Dantewada
118,B Sharma,,Dhamtari
119,B Somasekhara,,Durg
120,B Subhashan Reddy,,Gariaband
121,B Sudheendra Kumar,,Gaurela-Pendra-Marwahi
122,B Thulasidas,,Janjgir-Champa
123,B V Nagarathna,,Jashpur
124,Babita Puniya,,Kabirdham
125,Badar Durrez Ahmed,,Kanker
126,Bankim N Mehta,,Kondagaon
127,Bhaskar Bhattacharya,,Korba
128,Bikram Singh Sajwan,,Koriya
129,Biswanath Rath,,Mahasamund
130,Biswanath Somadder,,Mungeli
131,Blackburneevan Reddy,,Narayanpur
132,Budihal R B,,Raigarh
133,C Buch,,Raipur
134,C Chaudhry,,Rajnandgaon
135,C F I Rebello,,Sukma
136,C K Abdul Rehim,,Surajpur
137,C K Buch,,Surguja
138,C K M Joseph,,North Goa
139,C K S Radhakrishnan,,South Goa
140,C K Thakker,,Ahmedabad
141,C N Ramachandran Nair,,Amreli
142,C Nagappan,,Anand
143,C R Dash,,Aravalli
144,C R Kumarasivam,,Banaskantha
145,C R Kumaraswamy,,Bharuch
146,C S Karnan,,Bhavnagar
147,C Saravanan,,Botad
148,C T Ravikumar,,Chhota Udepur
149,C T Selvam,,Dahod
150,C V Bhadang,,Dang
151,C V Ramulu,,Devbhoomi Dwarka
152,Chakradhari Sharan Singh,,Gandhinagar
153,D Baruah,,Gir Somnath
154,D Bhandari,,Jamnagar
155,D Buch,,Junagadh
156,D C Vastava,,Kheda
157,D Y Chandrachud,,Kutch
158,D Deshpande,,Mahisagar
159,D Gupta,,Mehsana
160,D H Waghela,,Morbi
161,D K Agrawal,,Narmada
162,D K Paliwal,,Navsari
163,D Karia,,Panchmahal
164,D Mehta,,Patan
165,D Misra,,Porbandar
166,D Mohapatra,,Rajkot
167,D Murugesan,,Sabarkantha
168,D P Mohapatra,,Surat
169,D S Kumar,,Surendranagar
170,D Sinha,,Tapi
171,D Subrahmanyam,,Vadodara
172,D V Sharma,,Valsad
173,D Vastava,,Ambala
174,D Waghela,,Bhiwani
175,Dalip Singh,,Charkhi Dadri
176,Dalveer Bhandari,,Faridabad
177,Darshan Singh,,Fatehabad
178,Deepak Wason,,Gurgaon
179,Devan Ramachandran,,Hissar
180,Devendra Kumar Agrawal,,Jhajjar
181,Devendra Sharma,,Jind
182,Devi Prasad Singh,,Kaithal
183,Devinder Gupta,,Karnal
184,Dharma Rao Elipe,,Kurukshetra
185,Dhiraj Singh Thakur,,Mahendragarh
186,Dig Singh,,Nuh
187,Dinesh Kumar,,Palwal
188,Dinesh Kumar Singh,,Panchkula
189,Dinesh Maheshwari,,Panipat
190,Dipak Misra,,Rewari
191,Dipankar Datta,,Rohtak
192,Doraiswamy Raju,,Sirsa
193,E S Venkatramaiyah,,Sonipat
194,Elipe Dharma Rao,,Yamuna Nagar
195,F M Ibrahim Kalifulla,,Bilaspur
196,F Rebello,,Chamba
197,Faizan Uddin,,Hamirpur
198,Fateh Deep Singh,,Kangra
199,Ferdino Inacio Rebello,,Kinnaur
200,G Bharuka,,Kullu
201,G Jain,,Lahaul and Spiti
202,G K Ilanthiraiyan,,Mandi
203,G K Pandey,,Shimla
204,G Mital,,Sirmaur
205,G P Goud,,Solan
206,G P Singh,,Una
207,G Rohini,,Bokaro
208,G S Patel,,Chatra
209,Gita Mittal,,Deoghar
210,Goutam Bhaduri,,Dhanbad
211,Govind Mathur,,Dumka
212,Gurdev Singh,,East Singhbhum
213,Gurha Brahmana,,Garhwa
214,Gurmeet Singh Sandhawalia,,Giridih
215,Gyan Sudha Misra,,Godda
216,H B Antani,,Gumla
217,H C Mishra,,Hazaribag
218,H Goel,,Jamtara
219,H Gokhale,,Khunti
220,H H Mehta,,Koderma
221,H L Bajaj,,Latehar
222,H L Dattu,,Lohardaga
223,H L Gokhale,,Pakur
224,H Mehta,,Palamu
225,H N Das,,Ramgarh
226,H N Devani,,Ranchi
227,H N Nagamohan Das,,Sahibganj
228,H N Tilhari,,Seraikela Kharsawan
229,H R Khanna,,Simdega
230,H R Panwar,,West Singhbhum
231,H S Rai,,Bagalkot
232,Hari Nath Tilhari,,Ballari
233,Harinder Singh Sidhu,,Belgaum
234,Hemant Gupta,,Bangalore Rural
235,Huluvadi G Ramesh,,Bangalore Urban
236,I A Ansari,,Bidar
237,I J Kapoor,,Chamarajanagara
