Sl_No,Kanoon_id,date
1,42546367,"19 February, 2014"
2,113843692,"17 September, 2014"
3,98516246,"12 June, 2015"
4,23387092,"21 January, 2020"
5,23896596,"7 October, 2016"
6,1583921,"14 October, 1999"
7,27734671,"20 February, 2019"
8,154136890,"18 March, 2013"
9,116200927,"3 August, 2017"
10,117715526,"20 March, 2017"
11,146026927,
12,185947578,"6 January, 2017"
13,1917519,"25 June, 2010"
14,108207894,"2 June, 2016"
15,187749968,"13 October, 2009"
16,870983,"13 December, 2010"
17,79295478,"3 November, 2011"
18,242440,"29 March, 2006"
19,2001893,"8 May, 2019"
20,163070179,"3 March, 2020"
21,92561801,"28 February, 2013"
22,120570797,"20 August, 2010"
23,70763670,"24 September, 2019"
24,76058059,"23 September, 2014"
25,45505109,"23 July, 2018"
26,21008972,"5 January, 2018"
27,140824626,"26 March, 2014"
28,61484320,"20 July, 2010"
29,187831619,"8 September, 2017"
30,41995660,"28 November, 2013"
31,118031429,"15 November, 2019"
32,1084030,"18 December, 2009"
33,24787525,"4 May, 2013"
34,1649979,"18 November, 1998"
35,43853821,"10 October, 2019"
36,20482681,"20 June, 2018"
37,19776591,"22 August, 2019"
38,21736149,"12 October, 2018"
39,96409,"21 March, 2002"
40,120482,"21 June, 2007"
41,55126177,"4 January, 2016"
42,70070354,"20 August, 2010"
43,1968630,"7 March, 2003"
44,89991726,"3 September, 2013"
45,216821,"8 August, 2008"
46,117033145,"17 May, 2018"
47,51921737,"19 December, 2017"
48,107529377,"25 January, 2016"
49,194855129,"24 May, 2012"
50,124403578,"3 April, 2019"
51,105066979,"20 November, 2013"
52,1149168,"11 September, 1995"
53,1543990,"21 April, 1992"
54,64137975,"15 October, 2014"
55,105240281,"21 August, 2013"
56,25639720,"29 May, 2019"
57,124141513,"28 July, 2015"
58,85464632,"29 September, 2016"
59,164853676,"11 February, 2020"
60,129676664,"27 July, 2017"
61,55023363,"15 November, 2017"
62,169127234,"16 March, 2020"
63,97216725,"19 July, 2017"
64,159228959,"9 January, 2014"
65,79698950,"7 October, 2010"
66,421040,"2 February, 1996"
67,190021084,"23 May, 2018"
68,173262,"5 November, 2003"
69,168703932,"12 December, 2011"
70,82295646,"2 July, 2018"
71,105910020,"16 July, 2015"
72,857060,"8 March, 2002"
73,90432762,"7 October, 2016"
74,16039923,"20 August, 2010"
75,80369484,"11 August, 2014"
76,144527379,"21 March, 2014"
77,162646264,"11 July, 2013"
78,72331749,"9 July, 2019"
79,96166355,"19 June, 2018"
80,1762815,"18 February, 2010"
81,125186774,"28 June, 2018"
82,91920631,"19 November, 2014"
83,63804303,"2 May, 2019"
84,37450317,"7 September, 2018"
85,159077688,"23 September, 2003"
86,125156071,"21 August, 2009"
87,1510506,"21 June, 2001"
88,73120700,"1 August, 2014"
89,95195691,"16 October, 2014"
90,139742277,"9 August, 2012"
91,128564,"2 July, 2010"
92,146513185,"17 July, 2014"
93,104450191,"11 July, 2012"
94,96797729,"5 January, 2018"
95,26365752,"12 September, 2018"
96,21239474,"5 March, 2014"
97,535855,"13 May, 1996"
98,47534826,"9 June, 2020"
99,1174254,"24 August, 2007"
100,159399582,"24 February, 2014"
101,1339611,"24 November, 2010"
102,160267893,"6 February, 2017"
103,58481449,"23 March, 2018"
104,93988313,"25 April, 2011"
105,122893566,"29 September, 2011"
106,9216584,"21 June, 2018"
107,100723957,"27 May, 2013"
108,227552,"13 August, 2009"
109,136166524,"7 September, 2009"
110,1818014,"13 February, 1996"
111,198548095,"19 August, 2009"
112,56414875,"6 December, 2013"
113,48669397,"4 April, 2019"
114,1525204,"23 September, 1999"
115,33293446,"12 February, 2015"
116,128797291,"3 October, 2019"
117,127047960,"11 February, 2014"
118,35611884,"16 April, 2019"
119,66484302,"10 March, 2015"
120,182706644,"20 July, 2018"
121,132490477,"26 December, 2012"
122,19901215,"30 May, 2014"
123,1150440,"29 July, 2011"
124,133893329,"19 August, 2014"
125,81676885,"4 March, 2020"
126,127534895,"11 May, 2017"
127,61298,"3 November, 1992"
128,165012392,"21 August, 2013"
129,22980980,"15 May, 2013"
130,161076912,"20 March, 2017"
131,93044271,"26 August, 2019"
132,119704718,"8 October, 2018"
133,178549681,"17 July, 2013"
134,164991925,"18 October, 2012"
135,27046841,"1 June, 2019"
136,386955,"22 March, 2002"
137,750175,"19 February, 2007"
138,70783547,"11 February, 2016"
139,188275270,"4 February, 2019"
140,145100961,"12 March, 2014"
141,86167060,"7 October, 2016"
142,151389605,"11 October, 2018"
143,646392,"16 March, 1994"
144,107969353,"5 February, 2019"
145,157373782,"29 September, 2016"
146,67382646,"11 January, 2013"
147,70678173,"28 February, 2014"
148,64939334,"15 January, 2020"
149,75006721,"14 February, 2014"
150,99733325,"22 June, 2018"
151,18254393,"9 January, 2017"
152,827013,"22 July, 2003"
153,163715356,"9 August, 2018"
154,195556693,"31 October, 2018"
155,150305044,"1 April, 2014"
156,1128180,"26 September, 2006"
157,180905761,"10 January, 2013"
158,151046415,"18 March, 2015"
159,19549280,"26 March, 2019"
160,92936764,"4 December, 2017"
161,131990617,"31 May, 2016"
162,101950450,"5 November, 2012"
163,119805521,
164,126015879,"4 April, 2018"
165,56593,"16 January, 1995"
166,1907972,"29 April, 1993"
167,175363947,"17 May, 2018"
168,1632939,"18 September, 2008"
169,81650435,"12 December, 2008"
170,124737426,"13 October, 2017"
171,583128,"22 September, 2008"
172,23253052,"2 January, 2020"
173,775636,"22 July, 2009"
174,331123,"24 May, 1995"
175,126151961,"18 December, 2018"
176,168480452,"12 August, 2013"
177,1581405,"26 March, 1998"
178,1934794,"19 December, 2000"
179,235014,"10 July, 2009"
180,47025695,"16 March, 2017"
181,112519771,"16 June, 2020"
182,1595323,"5 January, 2001"
183,128521830,"13 February, 2019"
184,35720780,"23 August, 2011"
185,172195721,"10 August, 2020"
186,60768965,"11 September, 2014"
187,15529380,"6 January, 2014"
188,154606741,"20 September, 2012"
189,1868464,"30 January, 2001"
190,19298759,"26 November, 2018"
191,45344305,"4 June, 2018"
192,1028160,"29 November, 2006"
193,107407377,"27 March, 2014"
194,1075561,"5 November, 2003"
195,12023106,"8 July, 2019"
196,87639955,"6 December, 2013"
197,158600532,"5 January, 2018"
198,149119666,"11 September, 2018"
199,58857389,"15 February, 2016"
200,280039,"4 November, 2004"
201,176651544,"4 October, 2016"
202,195887887,"19 July, 2019"
203,1486949,"20 December, 1986"
204,423802,"3 September, 2003"
205,165474221,
206,74666363,"22 July, 2020"
207,913822,"21 January, 2010"
208,47813309,"4 June, 2015"
209,20899385,"15 October, 2015"
210,164995008,"14 July, 2014"
211,95687604,"2 July, 2010"
212,101044189,"7 July, 2014"
213,166316998,"1 August, 2011"
214,15167299,"10 May, 2012"
215,1191727,"24 November, 1998"
216,112226669,"18 July, 2005"
217,179298563,"15 October, 2014"
218,171994424,"13 February, 2020"
219,164503785,"21 January, 2015"
220,34137883,"20 July, 2016"
221,60658559,"30 June, 2015"
222,198796622,"9 August, 2017"
223,88051096,"25 July, 2019"
224,889432,"29 February, 2000"
225,1847340,"23 June, 1998"
226,94795879,"26 December, 2012"
227,45475437,"28 July, 2016"
228,66980342,"9 January, 2014"
229,180207471,"2 May, 2019"
230,65680366,"9 February, 2007"
231,158129584,"19 March, 2014"
232,45438381,"17 May, 2016"
233,62573966,"24 August, 2012"
234,1886906,"10 January, 1991"
235,162203799,"22 September, 2017"
236,964563,"9 October, 2001"
237,680752,"7 January, 2005"
238,1566732,"1 December, 2000"
239,133059705,"14 February, 2020"
240,53909573,"16 May, 2019"
241,163382410,"19 August, 2009"
242,51093521,"11 April, 2019"
243,139415114,"17 October, 2019"
244,81645720,"12 November, 2012"
245,79543063,"27 July, 2017"
246,188488723,"21 August, 2013"
247,682077,"27 January, 2010"
248,14637479,"5 January, 2018"
249,4136884,"12 June, 2013"
250,167531484,"16 August, 2017"
251,118065047,"17 September, 2015"
252,979263,"4 September, 1995"
253,151983986,"4 February, 2020"
254,640182,"27 January, 2010"
255,47816574,"26 April, 2018"
256,140668345,"15 April, 2019"
257,131414642,"25 February, 2019"
258,172748636,"10 July, 2013"
259,957691,"10 September, 2009"
260,1430606,"8 November, 1995"
261,449885,"29 March, 2005"
262,121069880,"14 August, 2018"
263,610063,"21 January, 2010"
264,100356002,"18 March, 2013"
265,651443,"23 July, 2001"
266,1235365,"10 September, 1996"
267,107055943,"2 November, 2018"
268,48213533,"20 August, 2010"
269,133637881,"4 September, 2014"
270,111589,"2 September, 1998"
271,35576773,"20 August, 2010"
272,1843908,"21 November, 2006"
273,6710570,"20 February, 2014"
274,1245581,"28 September, 1995"
275,31387551,"10 December, 2012"
276,143400255,"29 November, 2019"
277,119606207,"19 February, 2015"
278,18233028,"15 April, 2010"
279,677400,"12 December, 2001"
280,196683627,"13 July, 2012"
281,1674318,"9 October, 1990"
282,103494642,"23 August, 2018"
283,118324694,"20 August, 2014"
284,196252534,"21 June, 2018"
285,86009592,"24 April, 2019"
286,118617098,"7 July, 2014"
287,438323,"31 August, 2001"
288,119987529,"2 December, 2015"
289,1721626,"11 December, 2008"
290,59838361,"13 February, 2012"
291,297627,"18 January, 1988"
292,23009777,"12 February, 2014"
293,160595444,"29 March, 2011"
294,71572016,"5 January, 2018"
295,197796109,"26 December, 2012"
296,79746653,"23 April, 2018"
297,185421767,"6 January, 2015"
298,164750436,"1 December, 2017"
299,128964315,"23 March, 2015"
