Sl_No,Kanoon_id,date
1,42546367,19-Feb-14
2,113843692,17-Sep-14
3,98516246,12-Jun-15
4,23387092,21-Jan-20
5,23896596,07-Oct-16
6,1583921,14-Oct-99
7,27734671,20-Feb-19
8,154136890,18-Mar-13
9,116200927,03-Aug-17
10,117715526,20-Mar-17
11,146026927,
12,185947578,06-Jan-17
13,1917519,25-Jun-10
14,108207894,02-Jun-16
15,187749968,13-Oct-09
16,870983,13-Dec-10
17,79295478,03-Nov-11
18,242440,29-Mar-06
19,2001893,08-May-19
20,163070179,03-Mar-20
21,92561801,28-Feb-13
22,120570797,20-Aug-10
23,70763670,24-Sep-19
24,76058059,23-Sep-14
25,45505109,23-Jul-18
26,21008972,05-Jan-18
27,140824626,26-Mar-14
28,61484320,20-Jul-10
29,187831619,08-Sep-17
30,41995660,28-Nov-13
31,118031429,15-Nov-19
32,1084030,18-Dec-09
33,24787525,04-May-13
34,1649979,18-Nov-98
35,43853821,10-Oct-19
36,20482681,20-Jun-18
37,19776591,22-Aug-19
38,21736149,12-Oct-18
39,96409,21-Mar-02
40,120482,21-Jun-07
41,55126177,04-Jan-16
42,70070354,20-Aug-10
43,1968630,07-Mar-03
44,89991726,03-Sep-13
45,216821,08-Aug-08
46,117033145,17-May-18
47,51921737,19-Dec-17
48,107529377,25-Jan-16
49,194855129,24-May-12
50,124403578,03-Apr-19
51,105066979,20-Nov-13
52,1149168,11-Sep-95
53,1543990,21-Apr-92
54,64137975,15-Oct-14
55,105240281,21-Aug-13
56,25639720,29-May-19
57,124141513,28-Jul-15
58,85464632,29-Sep-16
59,164853676,11-Feb-20
60,129676664,27-Jul-17
61,55023363,15-Nov-17
62,169127234,16-Mar-20
63,97216725,19-Jul-17
64,159228959,09-Jan-14
65,79698950,07-Oct-10
66,421040,02-Feb-96
67,190021084,23-May-18
68,173262,05-Nov-03
69,168703932,12-Dec-11
70,82295646,02-Jul-18
71,105910020,16-Jul-15
72,857060,08-Mar-02
73,90432762,07-Oct-16
74,16039923,20-Aug-10
75,80369484,11-Aug-14
76,144527379,21-Mar-14
77,162646264,11-Jul-13
78,72331749,09-Jul-19
79,96166355,19-Jun-18
80,1762815,18-Feb-10
81,125186774,28-Jun-18
82,91920631,19-Nov-14
83,63804303,02-May-19
84,37450317,07-Sep-18
85,159077688,23-Sep-03
86,125156071,21-Aug-09
87,1510506,21-Jun-01
88,73120700,01-Aug-14
89,95195691,16-Oct-14
90,139742277,09-Aug-12
91,128564,02-Jul-10
92,146513185,17-Jul-14
93,104450191,11-Jul-12
94,96797729,05-Jan-18
95,26365752,12-Sep-18
96,21239474,05-Mar-14
97,535855,13-May-96
98,47534826,09-Jun-20
99,1174254,24-Aug-07
100,159399582,24-Feb-14
101,1339611,24-Nov-10
102,160267893,06-Feb-17
103,58481449,23-Mar-18
104,93988313,25-Apr-11
105,122893566,29-Sep-11
106,9216584,21-Jun-18
107,100723957,27-May-13
108,227552,13-Aug-09
109,136166524,07-Sep-09
110,1818014,13-Feb-96
111,198548095,19-Aug-09
112,56414875,06-Dec-13
113,48669397,04-Apr-19
114,1525204,23-Sep-99
115,33293446,12-Feb-15
116,128797291,03-Oct-19
117,127047960,11-Feb-14
118,35611884,16-Apr-19
119,66484302,10-Mar-15
120,182706644,20-Jul-18
121,132490477,26-Dec-12
122,19901215,30-May-14
123,1150440,29-Jul-11
124,133893329,19-Aug-14
125,81676885,04-Mar-20
126,127534895,11-May-17
127,61298,03-Nov-92
128,165012392,21-Aug-13
129,22980980,15-May-13
130,161076912,20-Mar-17
131,93044271,26-Aug-19
132,119704718,08-Oct-18
133,178549681,17-Jul-13
134,164991925,18-Oct-12
135,27046841,01-Jun-19
136,386955,22-Mar-02
137,750175,19-Feb-07
138,70783547,11-Feb-16
139,188275270,04-Feb-19
140,145100961,12-Mar-14
141,86167060,07-Oct-16
142,151389605,11-Oct-18
143,646392,16-Mar-94
144,107969353,05-Feb-19
145,157373782,29-Sep-16
146,67382646,11-Jan-13
147,70678173,28-Feb-14
148,64939334,15-Jan-20
149,75006721,14-Feb-14
150,99733325,22-Jun-18
151,18254393,09-Jan-17
152,827013,22-Jul-03
153,163715356,09-Aug-18
154,195556693,31-Oct-18
155,150305044,01-Apr-14
156,1128180,26-Sep-06
157,180905761,10-Jan-13
158,151046415,18-Mar-15
159,19549280,26-Mar-19
160,92936764,04-Dec-17
161,131990617,31-May-16
162,101950450,05-Nov-12
163,119805521,
164,126015879,04-Apr-18
165,56593,16-Jan-95
166,1907972,29-Apr-93
167,175363947,17-May-18
168,1632939,18-Sep-08
169,81650435,12-Dec-08
170,124737426,13-Oct-17
171,583128,22-Sep-08
172,23253052,02-Jan-20
173,775636,22-Jul-09
174,331123,24-May-95
175,126151961,18-Dec-18
176,168480452,12-Aug-13
177,1581405,26-Mar-98
178,1934794,19-Dec-00
179,235014,10-Jul-09
180,47025695,16-Mar-17
181,112519771,16-Jun-20
182,1595323,05-Jan-01
183,128521830,13-Feb-19
184,35720780,23-Aug-11
185,172195721,10-Aug-20
186,60768965,11-Sep-14
187,15529380,06-Jan-14
188,154606741,20-Sep-12
189,1868464,30-Jan-01
190,19298759,26-Nov-18
191,45344305,04-Jun-18
192,1028160,29-Nov-06
193,107407377,27-Mar-14
194,1075561,05-Nov-03
195,12023106,08-Jul-19
196,87639955,06-Dec-13
197,158600532,05-Jan-18
198,149119666,11-Sep-18
199,58857389,15-Feb-16
200,280039,04-Nov-04
201,176651544,04-Oct-16
202,195887887,19-Jul-19
203,1486949,20-Dec-86
204,423802,03-Sep-03
205,165474221,
206,74666363,22-Jul-20
207,913822,21-Jan-10
208,47813309,04-Jun-15
209,20899385,15-Oct-15
210,164995008,14-Jul-14
211,95687604,02-Jul-10
212,101044189,07-Jul-14
213,166316998,01-Aug-11
214,15167299,10-May-12
215,1191727,24-Nov-98
216,112226669,18-Jul-05
217,179298563,15-Oct-14
218,171994424,13-Feb-20
219,164503785,21-Jan-15
220,34137883,20-Jul-16
221,60658559,30-Jun-15
222,198796622,09-Aug-17
223,88051096,25-Jul-19
224,889432,29-Feb-00
225,1847340,23-Jun-98
226,94795879,26-Dec-12
227,45475437,28-Jul-16
228,66980342,09-Jan-14
229,180207471,02-May-19
230,65680366,09-Feb-07
231,158129584,19-Mar-14
232,45438381,17-May-16
233,62573966,24-Aug-12
234,1886906,10-Jan-91
235,162203799,22-Sep-17
236,964563,09-Oct-01
237,680752,07-Jan-05
238,1566732,01-Dec-00
239,133059705,14-Feb-20
240,53909573,16-May-19
241,163382410,19-Aug-09
242,51093521,11-Apr-19
243,139415114,17-Oct-19
244,81645720,12-Nov-12
245,79543063,27-Jul-17
246,188488723,21-Aug-13
247,682077,27-Jan-10
248,14637479,05-Jan-18
249,4136884,12-Jun-13
250,167531484,16-Aug-17
251,118065047,17-Sep-15
252,979263,04-Sep-95
253,151983986,04-Feb-20
254,640182,27-Jan-10
255,47816574,26-Apr-18
256,140668345,15-Apr-19
257,131414642,25-Feb-19
258,172748636,10-Jul-13
259,957691,10-Sep-09
260,1430606,08-Nov-95
261,449885,29-Mar-05
262,121069880,14-Aug-18
263,610063,21-Jan-10
264,100356002,18-Mar-13
265,651443,23-Jul-01
266,1235365,10-Sep-96
267,107055943,02-Nov-18
268,48213533,20-Aug-10
269,133637881,04-Sep-14
270,111589,02-Sep-98
271,35576773,20-Aug-10
272,1843908,21-Nov-06
273,6710570,20-Feb-14
274,1245581,28-Sep-95
275,31387551,10-Dec-12
276,143400255,29-Nov-19
277,119606207,19-Feb-15
278,18233028,15-Apr-10
279,677400,12-Dec-01
280,196683627,13-Jul-12
281,1674318,09-Oct-90
282,103494642,23-Aug-18
283,118324694,20-Aug-14
284,196252534,21-Jun-18
285,86009592,24-Apr-19
286,118617098,07-Jul-14
287,438323,31-Aug-01
288,119987529,02-Dec-15
289,1721626,11-Dec-08
290,59838361,13-Feb-12
291,297627,18-Jan-88
292,23009777,12-Feb-14
293,160595444,29-Mar-11
294,71572016,05-Jan-18
295,197796109,26-Dec-12
296,79746653,23-Apr-18
297,185421767,06-Jan-15
298,164750436,01-Dec-17
299,128964315,23-Mar-15
300,152144762,13-Jan-20
301,188559769,16-Nov-04
302,155218083,17-Jul-14
303,74371182,01-Jul-13
304,179824144,06-Jan-20
305,182836628,03-Sep-12
306,181062409,26-Dec-12
307,36741284,10-Nov-17
308,194198660,24-Feb-15
309,520359,18-Mar-96
310,123662446,13-Aug-15
311,101106702,09-Jan-14
312,517328,27-Nov-09
313,64310798,08-Feb-17
314,1453563,13-Jan-95
315,52071794,21-Jun-19
316,66514409,17-Jul-17
317,1646284,09-Jan-91
318,194027290,27-Aug-18
319,14939461,30-May-17
320,101481942,29-Sep-16
321,162947119,29-Sep-16
322,179975435,05-Oct-18
323,764031,27-Jan-99
324,154633090,06-May-15
325,501991,21-Jan-10
326,145021506,22-Apr-14
327,1768891,17-Oct-97
328,174884607,19-Aug-20
329,165677219,26-Dec-12
330,96324706,04-Dec-14
331,177263600,20-Jul-18
332,54199072,26-Dec-12
333,113458461,10-Jul-19
334,106153621,21-Dec-17
335,68184446,23-Dec-19
336,171714790,31-Aug-18
337,14973654,29-Sep-16
338,234175,25-Jul-02
339,104906080,13-Jan-12
340,183207845,08-Apr-16
341,616740,07-Aug-85
342,139508491,14-Jan-15
343,117806098,26-Apr-18
344,1220712,25-Apr-11
345,1657323,27-Jan-95
346,913452,18-Jun-19
347,151188745,07-Jul-14
348,101490786,26-Aug-19
349,111791453,27-Nov-18
350,53265783,15-Nov-17
351,176673205,18-Dec-18
352,91075369,10-Aug-15
353,741052,12-Aug-09
354,145137653,06-Dec-13
355,876164,01-Dec-00
356,117093610,26-Dec-12
357,193248305,04-May-16
358,190928805,10-Apr-19
